damage_id,date,branch_id,product_id,units_damaged,damage_cause,damage_value_naira
D1,2024-06-18,B6,P5,1,Packaging Defect,367.00
D2,2024-07-12,B4,P7,14,Staff Handling,6006.00
D3,2024-08-15,B4,P10,NULL,Supplier,1096.00
D4,2024-06-10,B4,P2,8,Supplier,2872.00
D5,2024-07-30,B5,P1,9,Supplier,2772.00
D6,2024-11-12,B3,P11,5,Packaging Defect,1920.00
D7,2024-07-05,B3,P1,14,Unknown,4312.00
D8,2024-10-13,B6,P10,10,Transit,3400.00
D9,2024-08-19,B3,P2,2,Staff Handling,826.00
D10,2024-06-30,B5,P11,13,Unknown,6292.00
D11,2024-07-10,B4,P12,NULL,Supplier,476.00
D12,2024-03-12,B3,P12,12,Transit,2304.00
D13,2024-11-08,B2,P4,4,Packaging Defect,588.00
D14,2024-08-22,B4,P4,5,Packaging Defect,1325.00
D15,2024-01-24,B4,P11,14,Packaging Defect,5824.00
D16,2024-12-03,B1,P10,NULL,Staff Handling,4293.00
D17,2024-09-28,B4,P12,1,Transit,318.00
D18,2024-09-17,B1,P3,12,Packaging Defect,4428.00
D19,2024-07-17,B4,P11,10,Packaging Defect,4400.00
D20,2024-08-02,B4,P10,15,Staff Handling,2055.00
D21,2024-06-24,B4,P5,8,Staff Handling,2936.00
D22,2024-11-04,B3,P12,15,Packaging Defect,5805.00
D23,2024-12-30,B2,P12,15,Staff Handling,6195.00
D24,2024-11-15,B6,P12,5,Packaging Defect,1935.00
D25,2024-11-28,B3,P3,9,Packaging Defect,1359.00
D26,2024-10-14,B3,P8,10,Transit,1190.00
D27,2024-08-04,B4,P1,9,Packaging Defect,1467.00
D28,2024-03-15,B3,P1,11,Supplier,4411.00
D29,2024-03-23,B1,P5,11,Packaging Defect,3586.00
D30,2024-12-19,B4,P5,4,Supplier,1020.00
D31,2024-02-22,B4,P10,14,Unknown,2660.00
D32,2024-05-01,B4,P9,13,Packaging Defect,7722.00
D33,2024-07-17,B1,P7,13,Packaging Defect,5577.00
D34,2024-01-07,B4,P12,5,Staff Handling,1885.00
D35,2024-04-25,B5,P11,12,Packaging Defect,1272.00
D36,2024-11-04,B4,P4,13,Packaging Defect,1911.00
D37,2024-03-31,B6,P11,NULL,Packaging Defect,600.00
D38,2024-09-20,B3,P2,7,Supplier,2331.00
D39,2024-10-11,B3,P5,3,Staff Handling,1116.00
D40,2024-01-03,B2,P6,8,Staff Handling,2640.00
D41,2024-06-14,B5,P10,5,Packaging Defect,2230.00
D42,2024-10-08,B2,P6,2,Unknown,422.00
D43,2024-04-04,B5,P9,2,Staff Handling,504.00
D44,2024-10-01,B2,P7,2,Packaging Defect,734.00
D45,2024-12-05,B2,P6,6,Packaging Defect,768.00
D46,2024-11-12,B6,P9,8,Supplier,3600.00
D47,2024-06-26,B6,P8,4,Staff Handling,1148.00
D48,2024-06-13,B3,P7,15,Supplier,3660.00
D49,2024-10-03,B3,P12,5,Supplier,1060.00
D50,2024-09-20,B3,P9,8,Transit,3296.00
D51,2024-11-29,B2,P4,6,Packaging Defect,882.00
D52,2024-10-02,B6,P9,1,Supplier,439.00
D53,2024-11-18,B2,P4,14,Packaging Defect,2058.00
D54,2024-10-02,B6,P12,15,Unknown,3180.00
D55,2024-12-17,B1,P3,1,Packaging Defect,187.00
D56,2024-02-14,B5,P2,1,Staff Handling,257.00
D57,2024-02-06,B4,P10,14,Staff Handling,2660.00
D58,2024-07-17,B3,P8,11,Transit,2640.00
D59,2024-01-09,B1,P7,11,Supplier,1529.00
D60,2024-11-24,B1,P12,10,Supplier,3870.00
D61,2024-12-24,B6,P2,6,Supplier,1314.00
D62,2024-06-03,B4,P10,NULL,Packaging Defect,892.00
D63,2024-07-21,B5,P11,1,Packaging Defect,440.00
D64,2024-04-22,B3,P3,12,Packaging Defect,5700.00
D65,2024-11-20,B5,P3,5,Packaging Defect,755.00
D66,2024-10-11,B5,P3,2,Packaging Defect,1126.00
D67,2024-11-01,B2,P7,9,Supplier,1296.00
D68,2024-06-25,B2,P4,7,Packaging Defect,2940.00
D69,2024-04-23,B1,P10,14,Packaging Defect,2632.00
D70,2024-04-02,B4,P11,13,Packaging Defect,1378.00
D71,2024-11-26,B3,P9,2,Packaging Defect,900.00
D72,2024-02-20,B3,P4,12,Packaging Defect,4848.00
D73,2024-03-06,B3,P11,11,Packaging Defect,3300.00
D74,2024-11-13,B4,P2,15,Staff Handling,3255.00
D75,2024-08-18,B2,P6,10,Packaging Defect,3790.00
D76,2024-10-16,B2,P10,6,Unknown,2040.00
D77,2024-01-03,B3,P6,NULL,Staff Handling,1320.00
D78,2024-07-03,B4,P3,11,Unknown,4136.00
D79,2024-08-16,B5,P6,13,Packaging Defect,4927.00
D80,2024-02-25,B2,P3,11,Unknown,4268.00
D81,2024-10-02,B1,P4,5,Packaging Defect,2225.00
D82,2024-09-16,B2,P11,1,Packaging Defect,400.00
D83,2024-01-19,B3,P9,5,Transit,2455.00
D84,2024-07-19,B4,P4,15,Packaging Defect,6810.00
D85,2024-09-13,B5,P9,NULL,Transit,824.00
D86,2024-01-06,B2,P11,4,Packaging Defect,1664.00
D87,2024-08-16,B3,P3,3,Packaging Defect,501.00
D88,2024-01-21,B1,P4,13,Unknown,5746.00
D89,2024-05-15,B5,P6,4,Supplier,1120.00
D90,2024-07-03,B1,P7,8,Transit,3432.00
D91,2024-11-28,B5,P6,2,Packaging Defect,788.00
D92,2024-10-05,B3,P10,3,Transit,1020.00
D93,2024-10-27,B3,P11,15,Packaging Defect,8925.00
D94,2024-07-11,B3,P4,9,Packaging Defect,4086.00
D95,2024-09-06,B2,P8,15,Supplier,2010.00
D96,2024-08-13,B6,P3,4,Packaging Defect,668.00
D97,2024-05-23,B3,P4,3,Packaging Defect,1038.00
D98,2024-11-04,B4,P12,14,Supplier,5418.00
D99,2024-06-18,B4,P12,2,Transit,548.00
D100,2024-04-17,B2,P10,3,Transit,564.00
D101,2024-01-23,B6,P3,10,Unknown,3190.00
D102,2024-09-19,B2,P1,15,Staff Handling,4785.00
D103,2024-05-12,B5,P3,9,Packaging Defect,4140.00
D104,2024-11-22,B2,P1,15,Unknown,4305.00
D105,2024-08-17,B2,P10,8,Unknown,1096.00
D106,2024-07-29,B6,P10,3,Staff Handling,1041.00
D107,2024-09-18,B5,P5,3,Packaging Defect,1260.00
D108,2024-10-29,B2,P2,4,Transit,1124.00
D109,2024-02-25,B5,P1,4,Transit,1852.00
D110,2024-02-19,B5,P3,8,Packaging Defect,3104.00
D111,2024-03-01,B5,P2,8,Staff Handling,3216.00
D112,2024-01-01,B4,P11,11,Packaging Defect,4576.00
D113,2024-07-08,B4,P1,5,Transit,1540.00
D114,2024-07-14,B2,P6,10,Supplier,4070.00
D115,2024-05-10,B3,P8,13,Staff Handling,4056.00
D116,2024-11-02,B1,P9,7,Packaging Defect,3150.00
D117,2024-12-29,B5,P12,13,Supplier,5369.00
D118,2024-03-01,B6,P9,1,Transit,549.00
D119,2024-06-10,B4,P7,6,Supplier,1464.00
D120,2024-11-29,B4,P10,5,Packaging Defect,1375.00
D121,2024-10-16,B2,P6,10,Unknown,2110.00
D122,2024-07-30,B3,P9,13,Transit,6110.00
D123,2024-10-13,B5,P9,8,Packaging Defect,3512.00
D124,2024-06-25,B6,P12,7,Staff Handling,1918.00
D125,2024-04-27,B2,P8,13,Staff Handling,4563.00
D126,2024-09-17,B5,P7,13,Packaging Defect,1508.00
D127,2024-12-22,B4,P11,12,Packaging Defect,5784.00
D128,2024-11-21,B4,P1,13,Supplier,3731.00
D129,2024-11-03,B2,P7,2,Supplier,288.00
D130,2024-07-08,B4,P2,10,Supplier,4060.00
D131,2024-11-10,B1,P11,9,Packaging Defect,3456.00
D132,2024-03-30,B2,P11,8,Packaging Defect,2400.00
D133,2024-12-02,B5,P9,5,Staff Handling,1435.00
D134,2024-09-18,B2,P9,12,Staff Handling,4944.00
D135,2024-12-11,B2,P1,6,Staff Handling,1026.00
D136,2024-02-14,B6,P5,13,Transit,2795.00
D137,2024-07-21,B1,P7,10,Unknown,4290.00
D138,2024-12-26,B3,P2,15,Supplier,3285.00
D139,2024-10-13,B2,P10,6,Packaging Defect,2040.00
D140,2024-11-06,B1,P4,8,Packaging Defect,1176.00
D141,2024-05-13,B1,P3,7,Packaging Defect,3220.00
D142,2024-09-14,B3,P5,6,Supplier,2520.00
D143,2024-10-02,B5,P10,5,Transit,1700.00
D144,2024-09-04,B6,P4,13,Unknown,3276.00
D145,2024-08-23,B1,P10,14,Supplier,1918.00
D146,2024-05-12,B3,P2,7,Staff Handling,1946.00
D147,2024-07-30,B2,P6,9,Supplier,3663.00
D148,2024-05-27,B5,P2,7,Packaging Defect,1946.00
D149,2024-04-01,B5,P8,6,Packaging Defect,2106.00
D150,2024-05-17,B6,P3,12,Packaging Defect,5520.00
D151,2024-04-12,B2,P4,12,Packaging Defect,2508.00
D152,2024-04-27,B3,P4,14,Packaging Defect,2926.00
