pricing_id,product_id,month,month_number,year,supplier_promo,our_buy_price_naira,promo_buy_price_naira,our_sell_price_naira,margin_naira
PR1,P1,January,1,2024,No,227,,249,22
PR2,P1,February,2,2024,Yes,345,322.0,389,67
PR3,P1,March,3,2024,No,277,,309,32
PR4,P1,April,4,2024,No,229,,254,25
PR5,P1,May,5,2024,No,261,,284,23
PR6,P1,June,6,2024,No,264,,287,23
PR7,P1,July,7,2024,No,185,,200,15
PR8,P1,August,8,2024,Yes,133,93.0,149,56
PR9,P1,September,9,2024,Yes,187,168.0,208,40
PR10,P1,October,10,2024,No,233,,260,27
PR11,P1,November,11,2024,No,247,,267,20
PR12,P1,December,12,2024,No,169,,191,22
PR13,P10,January,1,2024,No,494,,554,60
PR14,P10,February,2,2024,No,127,,139,12
PR15,P10,March,3,2024,No,113,,123,10
PR16,P10,April,4,2024,No,159,,173,14
PR17,P10,May,5,2024,Yes,260,247.0,285,38
PR18,P10,June,6,2024,No,328,,363,35
PR19,P10,July,7,2024,Yes,340,297.0,375,78
PR20,P10,August,8,2024,Yes,133,94.0,146,52
PR21,P10,September,9,2024,No,259,,288,29
PR22,P10,October,10,2024,No,218,,237,19
PR23,P10,November,11,2024,Yes,214,191.0,234,43
PR24,P10,December,12,2024,No,338,,371,33
PR25,P11,January,1,2024,Yes,317,295.0,350,55
PR26,P11,February,2,2024,No,185,,207,22
PR27,P11,March,3,2024,Yes,172,133.0,187,54
PR28,P11,April,4,2024,No,106,,117,11
PR29,P11,May,5,2024,Yes,212,189.0,235,46
PR30,P11,June,6,2024,No,382,,413,31
PR31,P11,July,7,2024,No,360,,400,40
PR32,P11,August,8,2024,No,385,,419,34
PR33,P11,September,9,2024,Yes,346,324.0,375,51
PR34,P11,October,10,2024,No,462,,521,59
PR35,P11,November,11,2024,No,319,,360,41
PR36,P11,December,12,2024,No,392,,439,47
PR37,P12,January,1,2024,Yes,232,193.0,254,61
PR38,P12,February,2,2024,No,215,,233,18
PR39,P12,March,3,2024,No,107,,119,12
PR40,P12,April,4,2024,Yes,271,248.0,299,51
PR41,P12,May,5,2024,No,306,,332,26
PR42,P12,June,6,2024,No,197,,218,21
PR43,P12,July,7,2024,No,114,,123,9
PR44,P12,August,8,2024,No,324,,365,41
PR45,P12,September,9,2024,Yes,198,164.0,216,52
PR46,P12,October,10,2024,No,138,,154,16
PR47,P12,November,11,2024,Yes,269,219.0,295,76
PR48,P12,December,12,2024,No,327,,362,35
PR49,P2,January,1,2024,Yes,246,222.0,272,50
PR50,P2,February,2,2024,No,212,,231,19
PR51,P2,March,3,2024,Yes,310,287.0,350,63
PR52,P2,April,4,2024,Yes,133,122.0,149,27
PR53,P2,May,5,2024,No,225,,254,29
PR54,P2,June,6,2024,Yes,249,200.0,280,80
PR55,P2,July,7,2024,No,320,,355,35
PR56,P2,August,8,2024,Yes,284,263.0,320,57
PR57,P2,September,9,2024,Yes,233,213.0,253,40
PR58,P2,October,10,2024,No,211,,230,19
PR59,P2,November,11,2024,No,197,,213,16
PR60,P2,December,12,2024,Yes,169,149.0,185,36
PR61,P3,January,1,2024,No,218,,240,22
PR62,P3,February,2,2024,No,317,,347,30
PR63,P3,March,3,2024,No,436,,489,53
PR64,P3,April,4,2024,No,398,,437,39
PR65,P3,May,5,2024,No,378,,414,36
PR66,P3,June,6,2024,No,373,,413,40
PR67,P3,July,7,2024,No,318,,346,28
PR68,P3,August,8,2024,Yes,141,117.0,158,41
PR69,P3,September,9,2024,No,308,,334,26
PR70,P3,October,10,2024,No,447,,505,58
PR71,P3,November,11,2024,Yes,130,108.0,145,37
PR72,P3,December,12,2024,Yes,141,120.0,154,34
PR73,P4,January,1,2024,Yes,333,295.0,360,65
PR74,P4,February,2,2024,No,350,,392,42
PR75,P4,March,3,2024,No,344,,384,40
PR76,P4,April,4,2024,No,136,,152,16
PR77,P4,May,5,2024,No,250,,280,30
PR78,P4,June,6,2024,No,360,,390,30
PR79,P4,July,7,2024,No,373,,410,37
PR80,P4,August,8,2024,No,209,,227,18
PR81,P4,September,9,2024,No,195,,219,24
PR82,P4,October,10,2024,No,380,,422,42
PR83,P4,November,11,2024,Yes,102,94.0,112,18
PR84,P4,December,12,2024,No,325,,352,27
PR85,P5,January,1,2024,Yes,224,206.0,245,39
PR86,P5,February,2,2024,Yes,164,115.0,180,65
PR87,P5,March,3,2024,Yes,300,259.0,335,76
PR88,P5,April,4,2024,No,170,,189,19
PR89,P5,May,5,2024,Yes,103,55.0,116,61
PR90,P5,June,6,2024,No,312,,344,32
PR91,P5,July,7,2024,No,213,,231,18
PR92,P5,August,8,2024,No,137,,153,16
PR93,P5,September,9,2024,No,344,,385,41
PR94,P5,October,10,2024,Yes,256,225.0,284,59
PR95,P5,November,11,2024,No,103,,115,12
PR96,P5,December,12,2024,No,209,,231,22
PR97,P6,January,1,2024,No,273,,302,29
PR98,P6,February,2,2024,No,153,,169,16
PR99,P6,March,3,2024,No,328,,355,27
PR100,P6,April,4,2024,No,329,,357,28
PR101,P6,May,5,2024,Yes,277,260.0,300,40
PR102,P6,June,6,2024,No,336,,374,38
PR103,P6,July,7,2024,No,327,,358,31
PR104,P6,August,8,2024,No,326,,360,34
PR105,P6,September,9,2024,No,318,,358,40
PR106,P6,October,10,2024,Yes,108,62.0,118,56
PR107,P6,November,11,2024,No,324,,357,33
PR108,P6,December,12,2024,No,128,,143,15
PR109,P7,January,1,2024,No,114,,124,10
PR110,P7,February,2,2024,Yes,113,107.0,122,15
PR111,P7,March,3,2024,No,105,,115,10
PR112,P7,April,4,2024,No,279,,304,25
PR113,P7,May,5,2024,No,114,,128,14
PR114,P7,June,6,2024,No,190,,213,23
PR115,P7,July,7,2024,Yes,309,272.0,344,72
PR116,P7,August,8,2024,No,251,,282,31
PR117,P7,September,9,2024,No,97,,109,12
PR118,P7,October,10,2024,Yes,288,243.0,314,71
PR119,P7,November,11,2024,No,117,,132,15
PR120,P7,December,12,2024,No,112,,124,12
PR121,P8,January,1,2024,Yes,331,312.0,371,59
PR122,P8,February,2,2024,No,145,,163,18
PR123,P8,March,3,2024,No,321,,352,31
PR124,P8,April,4,2024,No,230,,250,20
PR125,P8,May,5,2024,No,197,,215,18
PR126,P8,June,6,2024,Yes,218,190.0,240,50
PR127,P8,July,7,2024,Yes,120,95.0,135,40
PR128,P8,August,8,2024,Yes,107,67.0,120,53
PR129,P8,September,9,2024,No,113,,122,9
PR130,P8,October,10,2024,No,102,,113,11
PR131,P8,November,11,2024,No,328,,361,33
PR132,P8,December,12,2024,No,134,,146,12
PR133,P9,January,1,2024,No,403,,438,35
PR134,P9,February,2,2024,No,436,,478,42
PR135,P9,March,3,2024,No,456,,514,58
PR136,P9,April,4,2024,Yes,177,160.0,194,34
PR137,P9,May,5,2024,No,512,,566,54
PR138,P9,June,6,2024,No,181,,202,21
PR139,P9,July,7,2024,Yes,347,337.0,381,44
PR140,P9,August,8,2024,Yes,154,114.0,174,60
PR141,P9,September,9,2024,Yes,306,258.0,345,87
PR142,P9,October,10,2024,Yes,342,321.0,374,53
PR143,P9,November,11,2024,Yes,315,269.0,348,79
PR144,P9,December,12,2024,No,168,,184,16
