product_id,product_name,brand,category,packaging_type,incentive_rate_percent,units_per_carton
P1,Coke 50cl,Coca-Cola,Carbonated,Bottle,5.0,12
P10,Lucozade Boost,Lucozade,Energy,Bottle,7.0,12
P11,Chivita Exotic,Chivita,Juice,Carton,20.0,24
P12,Vitamilk Banana,Vitamilk,Juice,Bottle,18.0,12
P2,Coke 1L,Coca-Cola,Carbonated,Bottle,5.0,12
P3,Chivita Orange,Chivita,Juice,Carton,8.0,24
P4,Chivita Apple,Chivita,Juice,Carton,9.0,24
P5,Vitamilk Classic,Vitamilk,Juice,Bottle,12.0,12
P6,Vitamilk Strawberry,Vitamilk,Juice,Bottle,8.4,12
P7,C-Way Sachet,C-Way,Water,Sachet,3.0,30
P8,C-Way Bottle,C-Way,Water,Bottle,4.0,12
P9,Lucozade Orange,Lucozade,Energy,Bottle,6.0,12
