transaction_id,date,branch_id,product_id,pricing_id,units_sold,unit_buy_price_naira,unit_sell_price_naira
T1,6/14/2024,B5,P3,PR66,109,373,413
T2,1/30/2024,B1,P7,PR109,47,114,124
T3,10/9/2024,B1,P6,PR106,27,62,118
T4,10/22/2024,B3,P8,PR130,70,102,113
T5,8/2/2024,B2,P3,PR68,119,117,158
T6,2/22/2024,B1,P8,PR122,44,145,163
T7,11/12/2024,B4,P4,PR83,56,94,112
T8,7/4/2024,B4,P11,PR31,82,360,400
T9,6/24/2024,B1,P10,PR18,77,328,363
T10,9/19/2024,B1,P6,PR105,41,318,358
T11,3/15/2024,B4,P8,PR130,60,321,352
T12,10/23/2024,B6,P12,PR46,28,138,154
T13,2/3/2024,B4,P1,PR2,91,322,389
T14,12/8/2024,B1,P5,PR96,6,209,231
T15,9/9/2024,B4,P1,PR9,75,168,208
T16,9/11/2024,B4,P2,PR57,60,213,253
T17,10/8/2024,B2,P11,PR34,123,462,521
T18,2/12/2024,B3,P3,PR62,54,317,347
T19,5/24/2024,B2,P1,PR5,55,261,284
T20,12/19/2024,B6,P7,PR120,44,112,124
T21,10/13/2024,B6,P6,PR106,70,62,118
T22,7/24/2024,B3,P1,PR7,58,185,200
T23,11/3/2024,B3,P1,PR11,14,247,267
T24,11/10/2024,B3,P1,PR11,14,247,267
T25,6/26/2024,B-Unknown,P8,PR126,66,190,240
T26,9/2/2024,B6,P12,PR45,59,164,216
T27,3/23/2024,B6,P7,PR111,62,105,115
T28,10/9/2024,B2,P1,PR10,123,233,260
T29,7/1/2024,B5,P4,PR79,133,373,410
T30,4/9/2024,B1,P4,PR76,177,136,152
T31,1/15/2024,B4,P11,PR25,112,295,350
T32,6/27/2024,B5,P5,PR90,30,312,344
T33,11/8/2024,B6,P1,PR11,58,247,267
T34,3/2/2024,B6,P6,PR99,85,328,355
T35,7/21/2024,B2,P12,PR43,71,114,123
T36,1/15/2024,B4,P3,PR61,128,218,240
T37,12/2/2024,B1,P5,PR96,14,209,231
T38,11/28/2024,B2,P2,PR59,0,197,213
T39,4/18/2024,B2,P1,PR4,127,229,254
T40,2/1/2024,B5,P10,PR14,65,127,139
T41,8/3/2024,B4,P7,PR116,36,251,282
T42,4/3/2024,B1,P8,PR124,60,230,250
T43,10/11/2024,B-Unknown,P1,PR10,95,233,260
T44,10/13/2024,B1,P1,PR10,70,233,260
T45,8/14/2024,B4,P5,PR92,84,137,153
T46,9/16/2024,B2,P4,PR81,141,195,219
T47,8/17/2024,B2,P3,PR68,98,117,158
T48,8/7/2024,B6,P2,PR56,73,263,320
T49,10/9/2024,B4,P3,PR67,85,447,505
