pricing_id,product_id,month,month_number,year,supplier_promo,our_buy_price_naira,promo_buy_price_naira,our_sell_price_naira,margin_naira
PR1,P1,January,1,2024,No,227,,282,55
PR2,P1,February,2,2024,yes,345,322.0,463,118
PR3,P1,march,3,2024,No,277,,401,124
PR4,P1,April,4,2024,No,229,,287,58
PR5,P1,May,5,2024,No,261,,389,128
PR6,P1,June,6,2024,No,264,,273,9
PR7,P1,July,7,2024,No,185,265.0,308,123
PR8,P1,August,8,2024,Yes,133,93.0,163,30
PR9,P1,September,9,2024,Yes,187,168.0,319,132
PR10,P1,october,10,2024,No,233,,268,35
PR11,P1,November,11,2024,no,247,,287,40
PR12,P1,December,12,2024,No,169,,171,2
PR13,P10,January,1,2024,No,494,,598,104
PR14,P10,February,2,2024,No,127,,190,63
PR15,P10,March,3,2024,No,113,312.0,252,139
PR16,P10,April,4,2024,No,159,,188,29
PR17,P10,May,5,2024,Yes,260,247.0,287,27
PR18,P10,June,6,2024,No,328,,446,118
PR19,P10,Jul,7,2024,Yes,340,297.0,347,7
PR20,P10,AUGUST,8,2024,Y,133,94.0,137,4
PR21,P10,September,9,2024,No,259,,272,13
PR22,P10,October,10,2024,NO,218,324.0,340,122
PR23,P10,November,11,2024,Yes,214,191.0,275,61
PR24,P10,December,12,2024,No,338,,477,139
PR25,P11,January,1,2024,yes,317,,416,99
PR26,P11,FEBRUARY,2,2024,No,185,63.0,266,81
PR27,P11,March,3,2024,Yes,172,133.0,300,128
PR28,P11,April,4,2024,No,106,,106,0
PR29,P11,May,5,2024,Yes,212,189.0,339,127
PR30,P11,June,6,2024,No,382,,484,102
PR31,P11,July,7,2024,No,360,,440,80
PR32,P11,August,8,2024,No,385,,436,51
PR33,P11,Sep,9,2024,Yes,346,324.0,400,54
PR34,P11,october,10,2024,No,462,,595,133
PR35,P11,NOVEMBER,11,2024,No,319,,384,65
PR36,P11,December,12,2024,NO,392,,482,90
PR37,P12,January,1,2024,Yes,232,193.0,377,145
PR38,P12,February,2,2024,No,215,,216,1
PR39,P12,March,3,2024,No,107,268.0,192,85
PR40,P12,April,4,2024,Yes,271,248.0,363,92
PR41,P12,May,5,2024,No,306,,380,74
PR42,P12,June,6,2024,No,197,,274,77
PR43,P12,July,7,2024,No,114,,238,124
PR44,P12,august,8,2024,No,324,,394,70
PR45,P12,September,9,2024,Yes,198,164.0,318,120
PR46,P12,October,10,2024,No,138,,212,74
PR47,P12,November,11,2024,Yes,269,219.0,387,118
PR48,P12,December,12,2024,No,327,,413,86
PR49,P2,January,1,2024,Yes,246,,380,134
PR50,P2,February,2,2024,No,212,,257,45
PR51,P2,March,3,2024,Yes,310,287.0,402,92
PR52,P2,April,4,2024,Yes,133,122.0,269,136
PR53,P2,May,5,2024,No,225,,278,53
PR54,P2,June,6,2024,Yes,249,200.0,359,110
PR55,P2,Jul,7,2024,No,320,,406,86
PR56,P2,August,8,2024,Yes,284,263.0,413,129
PR57,P2,September,9,2024,Yes,233,,333,100
PR58,P2,october,10,2024,No,211,,281,70
PR59,P2,november,11,2024,N,197,,217,20
PR60,P2,december,12,2024,Yes,169,149.0,219,50
PR61,P3,January,1,2024,N,218,,319,101
PR62,P3,February,2,2024,No,317,,388,71
PR63,P3,March,3,2024,No,436,,575,139
PR64,P3,April,4,2024,No,398,,475,77
PR65,P3,May,5,2024,No,378,,460,82
PR66,P3,June,6,2024,No,373,,455,82
PR67,P3,JULY,7,2024,N,318,223.0,376,58
PR68,P3,August,8,2024,Yes,141,117.0,167,26
PR69,P3,September,9,2024,NO,308,,369,61
PR70,P3,October,10,2024,No,447,,563,116
PR71,P3,november,11,2024,Yes,130,108.0,151,21
PR72,P3,December,12,2024,Yes,141,120.0,187,46
PR73,P4,January,1,2024,Yes,333,295.0,442,109
PR74,P4,February,2,2024,No,350,,404,54
PR75,P4,March,3,2024,No,344,,434,90
PR76,P4,April,4,2024,No,136,,209,73
PR77,P4,May,5,2024,No,250,,346,96
PR78,P4,June,6,2024,No,360,,420,60
PR79,P4,July,7,2024,No,373,,454,81
PR80,P4,August,8,2024,NO,209,,265,56
PR81,P4,September,9,2024,No,195,,252,57
PR82,P4,October,10,2024,No,380,,445,65
PR83,P4,November,11,2024,Yes,102,,147,45
PR84,P4,December,12,2024,NO,325,,328,3
PR85,P5,january,1,2024,YES,224,206.0,333,109
PR86,P5,February,2,2024,Yes,164,115.0,215,51
PR87,P5,March,3,2024,Yes,300,259.0,326,26
PR88,P5,APRIL,4,2024,No,170,,262,92
PR89,P5,May,5,2024,Yes,103,55.0,127,24
PR90,P5,June,6,2024,No,312,,367,55
PR91,P5,July,7,2024,No,213,141.0,231,18
PR92,P5,August,8,2024,No,137,,177,40
PR93,P5,SEPTEMBER,9,2024,No,344,,420,76
PR94,P5,October,10,2024,Yes,256,225.0,372,116
PR95,P5,November,11,2024,No,103,207.0,210,107
PR96,P5,DECEMBER,12,2024,No,209,226.0,255,46
PR97,P6,January,1,2024,No,273,,330,57
PR98,P6,February,2,2024,No,153,,244,91
PR99,P6,March,3,2024,No,328,,396,68
PR100,P6,April,4,2024,NO,329,,405,76
PR101,P6,may,5,2024,Yes,277,260.0,280,3
PR102,P6,June,6,2024,No,336,,437,101
PR103,P6,Jul,7,2024,N,327,,407,80
PR104,P6,august,8,2024,NO,326,,379,53
PR105,P6,SEPTEMBER,9,2024,No,318,,387,69
PR106,P6,October,10,2024,Yes,108,62.0,211,103
PR107,P6,November,11,2024,No,324,,394,70
PR108,P6,December,12,2024,No,128,219.0,128,0
PR109,P7,January,1,2024,No,114,,139,25
PR110,P7,February,2,2024,Yes,113,107.0,193,80
PR111,P7,March,3,2024,No,105,,126,21
PR112,P7,April,4,2024,No,279,,419,140
PR113,P7,May,5,2024,No,114,,143,29
PR114,P7,June,6,2024,No,190,,244,54
PR115,P7,July,7,2024,Yes,309,272.0,429,120
PR116,P7,August,8,2024,No,251,272.0,292,41
PR117,P7,September,9,2024,No,97,,116,19
PR118,P7,October,10,2024,Yes,288,243.0,367,79
PR119,P7,November,11,2024,No,117,,144,27
PR120,P7,December,12,2024,N,112,,125,13
PR121,P8,January,1,2024,YES,331,,398,67
PR122,P8,February,2,2024,No,145,,228,83
PR123,P8,March,3,2024,No,321,,384,63
PR124,P8,April,4,2024,No,230,,351,121
PR125,P8,May,5,2024,No,197,,312,115
PR126,P8,JUNE,6,2024,Yes,218,190.0,287,69
PR127,P8,july,7,2024,yes,120,95.0,240,120
PR128,P8,August,8,2024,Yes,107,67.0,115,8
PR129,P8,September,9,2024,No,113,,134,21
PR130,P8,Oct,10,2024,No,102,,119,17
PR131,P8,Nov,11,2024,No,328,,426,98
PR132,P8,DECEMBER,12,2024,No,134,,280,146
PR133,P9,Jan,1,2024,No,403,,491,88
PR134,P9,February,2,2024,No,436,,517,81
PR135,P9,March,3,2024,No,456,,549,93
PR136,P9,April,4,2024,Yes,177,160.0,252,75
PR137,P9,May,5,2024,NO,512,,594,82
