transaction_id,date,branch_id,product_id,pricing_id,units_sold,unit_buy_price_naira,unit_sell_price_naira
T1,6/14/2024,B5,P3,PR66,109,373,455
T2,1/30/2024,B1,P7,PR109,47,114,139
T3,10/9/2024,B1,P6,PR106,27,108,211
T4,10/22/2024,B3,P8,PR130,70,102,119
T5,8/2/2024,B2,P3,PR68,119,141,167
T6,2/22/2024,B1,P8,PR122,44,145,228
T7,11/12/2024,B4,P4,PR83,56,102,147
T8,7/4/2024,B4,P11,PR31,82,360,440
T9,6/24/2024,B1,P10,PR18,77,328,446
T10,9/19/2024,B1,P6,PR105,41,318,387
T11,15-03-2024,B4,P8,PR130,60,102,119
T12,10/23/2024,B6,P12,PR46,28,138,212
T13,2/3/2024,B4,P1,PR2,91,345,463
T14,12/8/2024,B1,P5,PR96,6,209,255
T15,9/9/2024,B4,P1,PR9,75,187,319
T16,9/11/2024,B4,P2,PR57,60,233,333
T17,10/8/2024,B2,P11,PR34,123,462,595
T18,2/12/2024,B3,P3,PR62,54,317,388
T19,5/24/2024,B2,P1,PR5,55,261,389
T20,12/19/2024,B6,P7,PR120,44,112,125
T21,10/13/2024,B6,P6,PR106,70,108,211
T22,7/24/2024,B3,P1,PR7,58,185,308
T23,11/3/2024,B3,P1,PR11,14,247,287
T24,11/10/2024,B3,P1,PR11,14,247,287
T25,6/26/2024,B-UNKNOWN,P8,PR126,66,218,287
T26,9/2/2024,B6,P12,PR45,59,198,318
T27,3/23/2024,B6,P7,PR111,62,105,126
T28,Oct 9 2024,B2,P1,PR10,123,233,268
T29,7/1/2024,B5,P4,PR79,133,373,454
T30,4/9/2024,B1,P4,PR76,177,136,209
T31,1/15/2024,B4,P11,PR25,112,317,416
T32,6/27/2024,B5,P5,PR90,30,312,367
T33,11/8/2024,B6,P1,PR11,58,247,287
T34,3/2/2024,B6,P6,PR99,85,328,396
T35,7/21/2024,B2,P12,PR43,71,114,238
T36,1/15/2024,B4,P3,PR61,128,218,319
T37,12/2/2024,B1,P5,PR96,14,209,255
T38,11/28/2024,B2,P2,PR59,,197,217
T39,4/18/2024,B2,P1,PR4,127,229,287
T40,2/1/2024,B5,P10,PR14,65,127,190
T41,8/3/2024,B4,P7,PR116,36,251,292
T42,4/3/2024,B1,P8,PR124,60,230,351
T43,10/11/2024,B-UNKNOWN,P1,PR10,95,233,268
T44,10/13/2024,B1,P1,PR10,70,233,268
T45,8/14/2024,B4,P5,PR92,84,137,177
T46,9/16/2024,B2,P4,PR81,141,195,252
T47,8/17/2024,B2,P3,PR68,98,141,167
T48,8/7/2024,B6,P2,PR56,73,284,413
T49,Oct 9 2024,B4,P3,PR67,85,318,376
T50,3/24/2024,B5,P9,PR135,88,456,549
T51,7/25/2024,B6,P5,PR91,73,213,231
T52,Oct 9 2024,B3,P1,PR7,95,185,308
T53,9/21/2024,B2,P8,PR129,57,113,134
T54,2/23/2024,B6,P2,PR50,74,212,257
T55,5/12/2024,B6,P6,PR101,39,277,280
T56,6/16/2024,B6,P2,PR54,72,249,359
T57,2/15/2024,B1,P11,PR26,46,185,266
T58,6/22/2024,B5,P7,PR114,73,190,244
T59,12/29/2024,B6,P4,PR84,20,325,328
T60,6/5/2024,B2,P7,PR114,46,190,244
T61,5/18/2024,B2,P5,PR89,22,103,127
