damage_id,date,branch_id,product_id,units_damaged,damage_cause,damage_value_naira
D1,2024-06-18,B6,P5,1.0,Packaging Defect,367
D2,2024-07-12,B4,P7,14.0,Staff Handling,6006
D3,2024-08-15,B4,P10,,Supplier,1096
D4,2024-06-10,B4,P2,8.0,Suplier,2872
D5,2024-07-30,B5,P1,9.0,Supplier,2772
D6,2024-11-12,B3,P11,5.0,Packaging Defect,1920
D7,2024-07-05,B3,P1,14.0,,4312
D8,2024-10-13,B6,P10,10.0,Transit,3400
D9,2024-08-19,B3,P2,2.0,STAFF HANDLING,826
D10,2024-06-30,B5,P11,13.0,,6292
D11,2024-07-10,B4,P12,,Supplier,476
D12,2024-03-12,B3,P12,12.0,TRANSIT,2304
D13,2024-11-08,B2,P4,4.0,Packaging Defect,588
D14,2024-08-22,B4,P4,5.0,Packaging Defect,1325
D15,2024-01-24,B4,P11,14.0,Packaging Defect,5824
D16,2024-12-03,B1,P10,,Staff Handling,4293
D17,2024-09-28,B4,P12,1.0,Transit,318
D18,2024-09-17,B1,P3,12.0,Packaging defect,4428
D19,2024-07-17,B4,P11,10.0,Packaging Defect,4400
D20,2024-08-02,B4,P10,15.0,Staff Handling,2055
D21,2024-06-24,B4,P5,8.0,Staff Handling,2936
D22,2024-11-04,B3,P12,15.0,Packaging Defect,5805
D23,2024-12-30,B2,P12,15.0,Staff Handling,6195
D24,2024-11-15,B6,P12,5.0,Packaging Defect,1935
D25,2024-11-28,B3,P3,9.0,Packaging Defect,1359
D26,2024-10-14,B3,P8,10.0,Transit,1190
D27,2024-08-04,B4,P1,9.0,Packaging Defect,1467
D28,2024-03-15,B3,P1,11.0,Supplier,4411
D29,2024-03-23,B1,P5,11.0,PACKAGING DEFECT,3586
D30,2024-12-19,B4,P5,4.0,Supplier,1020
D31,2024-02-22,B4,P10,14.0,Unknown,2660
D32,2024-05-01,B4,P9,13.0,PACKAGING DEFECT,7722
D33,2024-07-17,B1,P7,13.0,PACKAGING DEFECT,5577
D34,2024-01-07,B4,P12,5.0,Staff Handling,1885
D35,2024-04-25,B5,P11,12.0,Packaging Defect,1272
D36,2024-11-04,B4,P4,13.0,packaging defect,1911
D37,2024-03-31,B6,P11,,Packaging Defect,600
D38,2024-09-20,B3,P2,7.0,Supplier,2331
D39,2024-10-11,B3,P5,3.0,Staff Handling,1116
D40,2024-01-03,B2,P6,8.0,Staff Handling,2640
D41,2024-06-14,B5,P10,5.0,Packaging Defect,2230
D42,2024-10-08,B2,P6,2.0,Unknown,422
D43,2024-04-04,B5,P9,2.0,Staff Handling,504
D44,2024-10-01,B2,P7,2.0,Packaging Defect,734
D45,2024-12-05,B2,P6,6.0,Packaging Defect,768
D46,2024-11-12,B6,P9,8.0,Supplier,3600
D47,2024-06-26,B6,P8,4.0,staff Handling,1148
D48,2024-06-13,B3,P7,15.0,Supplier,3660
D49,2024-10-03,B3,P12,5.0,Supplier,1060
D50,2024-09-20,B3,P9,8.0,Transit,3296
D51,2024-11-29,B2,P4,6.0,packaging defect,882
D52,2024-10-02,B6,P9,1.0,supplier,439
D53,2024-11-18,B2,P4,14.0,Packaging Defect,2058
D54,2024-10-02,B6,P12,15.0,,₦3180
D55,2024-12-17,B1,P3,1.0,PACKAGING DEFECT,187
D56,2024-02-14,B5,P2,1.0,Staff Handling,257
D57,2024-02-06,B4,P10,14.0,Staff Handling,₦2660
D58,2024-07-17,B3,P8,11.0,Transit,2640
D59,2024-01-09,B1,P7,11.0,Supplier,1529
D60,2024-11-24,B1,P12,10.0,Supplier,3870
D61,2024-12-24,B6,P2,6.0,SUPPLIER,1314
D62,2024-06-03,B4,P10,,Packaging Defect,892
D63,2024-07-21,B5,P11,1.0,Packaging Defect,440
D64,2024-04-22,B3,P3,12.0,Packaging Defect,5700
D65,2024-11-20,B5,P3,5.0,PACKAGING DEFECT,755
D66,2024-10-11,B5,P3,2.0,Packaging Defect,1126
D67,2024-11-01,B2,P7,9.0,Supplier,1296
D68,2024-06-25,B2,P4,7.0,Packaging Defect,2940
D69,2024-04-23,B1,P10,14.0,Packaging Defect,2632
D70,2024-04-02,B4,P11,13.0,Packaging Defect,1378
D71,2024-11-26,B3,P9,2.0,Packaging Defect,900
D72,2024-02-20,B3,P4,12.0,Packaging Defect,4848
D73,2024-03-06,B3,P11,11.0,Packaging Defect,3300
D74,2024-11-13,B4,P2,15.0,STAFF HANDLING,3255
D75,2024-08-18,B2,P6,10.0,Packaging Defect,3790
D76,2024-10-16,B2,P10,6.0,,2040
D77,2024-01-03,B3,P6,,Staff Handling,1320
D78,2024-07-03,B4,P3,11.0,Unknown,4136
D79,2024-08-16,B5,P6,13.0,Packaging Defect,4927
D80,2024-02-25,B2,P3,11.0,Unknown,4268
D81,2024-10-02,B1,P4,5.0,Packaging Defect,2225
D82,2024-09-16,B2,P11,1.0,Packaging Defect,400
D83,2024-01-19,B3,P9,5.0,Transit,2455
D84,2024-07-19,B4,P4,15.0,Packaging Defect,6810
D85,2024-09-13,B5,P9,,Transit,824
D86,2024-01-06,B2,P11,4.0,Packaging Defect,1664
D87,2024-08-16,B3,P3,3.0,packaging defect,501
D88,2024-01-21,B1,P4,13.0,,5746
D89,2024-05-15,B5,P6,4.0,Suplier,₦1120
D90,2024-07-03,B1,P7,8.0,Transit,3432
D91,2024-11-28,B5,P6,2.0,packaging defect,788
D92,2024-10-05,B3,P10,3.0,Transit,1020
D93,2024-10-27,B3,P11,15.0,Packaging Defect,8925
D94,2024-07-11,B3,P4,9.0,Packaging defect,₦4086
D95,2024-09-06,B2,P8,15.0,Supplier,2010
D96,2024-08-13,B6,P3,4.0,Packaging Defect,668
D97,2024-05-23,B3,P4,3.0,PACKAGING DEFECT,1038
D98,2024-11-04,B4,P12,14.0,Suplier,5418
D99,2024-06-18,B4,P12,2.0,In Transit,548
D100,2024-04-17,B2,P10,3.0,Transit,564
D101,2024-01-23,B6,P3,10.0,,3190
D102,2024-09-19,B2,P1,15.0,staff Handling,4785
